Species,groups_new,groups_old,functional_name,Diet,TrophicLevel,MaxSizeTL,ReefPosition,FeedingType,Solitary,Schooling,Shoaling,Cluster,PC1,PC2
Decapterus muroadsi,group6,group6,Pelagic,Carnivoro,3.4,30,pelagic-oceanic,selective plankton feeding,0,1,0,7,0.7855879310098306,2.7300377109619176
Dermatolepis dermatolepis,group4,group4,GenPred_schooling,Piscivoro,4.5,75,reef-associated,hunting macrofauna (predator),0,1,0,3,-2.0921564519484743,0.34440054757214744
Elagatis bipinnulata,group4,group4,GenPred_schooling,Piscivoro,3.59,65,reef-associated,hunting macrofauna (predator),0,1,0,3,-1.4565278902912029,0.06430200412878932
Elops affinis,group6,group6,Pelagic,Piscivoro,4.05,65,pelagic-neritic,hunting macrofauna (predator),0,1,0,5,-3.2230952784287488,0.8386555945269
Epinephelus labriformis,group5,group5,GenPred_solitary,Carnivoro,3.2,95,demersal,hunting macrofauna (predator),1,0,0,1,-1.6413429081939677,-0.4686431629476843
Euthynnus lineatus,group6,group6,Pelagic,Carnivoro,3.83,55,pelagic-oceanic,hunting macrofauna (predator),0,1,0,7,-1.1892838439772075,1.1441189382848427
Ferdauia orthogrammus,group4,group4,GenPred_schooling,Piscivoro,4.48,75,reef-associated,hunting macrofauna (predator),0,1,0,3,-2.080097980829715,0.33755248372695335
Fistularia commersonii,group5,group5,GenPred_solitary,Piscivoro,4.3,130,reef-associated,hunting macrofauna (predator),1,0,0,6,-2.501582856741595,-0.4782186425502093
Forcipiger flavissimus,group3,group3,Crip_solitary,Carnivoro,3.1,35,reef-associated,hunting macrofauna (predator),1,0,0,6,-0.053913269070012454,-0.6833029933563037
Gnathanodon speciosus,group4,group4,GenPred_schooling,Piscivoro,4,60,reef-associated,hunting macrofauna (predator),0,1,0,3,-1.6602424853489055,0.2204314937117541
Haemulon flaviguttatum,group4,group4,Crip_schooling,Carnivoro,3.1,40,demersal,hunting macrofauna (predator),0,1,0,1,-1.0510394366194575,0.2512550694967613
Haemulon maculicauda,group4,group4,Crip_schooling,Carnivoro,3.1,80,reef-associated,hunting macrofauna (predator),0,1,0,3,-0.39358341062654567,-0.24404805681561037
Haemulon scudderii,group4,group4,Crip_schooling,Carnivoro,4.2,40,reef-associated,hunting macrofauna (predator),0,1,0,3,-0.708926819143406,0.2585489007219527
Haemulon sexfasciatum,group4,group4,Crip_schooling,Carnivoro,3.4,55,reef-associated,hunting macrofauna (predator),0,1,0,3,-0.3570401630236226,-0.06260619535526869
Haemulon steindachneri,group4,group4,Crip_schooling,Carnivoro,3.5,50,reef-associated,hunting macrofauna (predator),0,1,0,3,-0.3738484557405566,-0.0126216953728122
Halichoeres chierchiae,group4,group4,Crip_schooling,Carnivoro,3.2,35,reef-associated,hunting macrofauna (predator),0,1,0,3,-0.0625192003285808,-0.0681101107812648
Halichoeres dispilus,group4,group4,Crip_schooling,Carnivoro,3.5,45,reef-associated,hunting macrofauna (predator),0,1,0,3,-0.33036439286369423,0.0031224853836738617
Halichoeres melanotis,group3,group3,Crip_solitary,Carnivoro,3,50,reef-associated,hunting macrofauna (predator),1,0,0,6,-0.12407310210680314,-0.7647758548517325
Halichoeres nicholsi,group4,group4,Crip_schooling,Carnivoro,4,65,reef-associated,hunting macrofauna (predator),0,1,0,3,-0.8057624223401251,0.11134735848758127
Halichoeres notospilus,group4,group4,Crip_schooling,Carnivoro,3.5,40,reef-associated,hunting macrofauna (predator),0,1,0,3,-0.2868803299868319,0.01886666614016001
